Date,TD.TO_Toronto Dominion Bank,BNS.TO_Bank of Nova Scotia,BAC_Bank of America Corporation,MO_Altria Group,GBPEUR=X_GBP EUR,CADEUR=X_CAD EUR,BMO.TO_Bank of Montreal,^IXIC_NASDAQ,BTI_British American Tobacco,SNC.TO_SNC-Lavalin Group,RCI-B.TO_Rogers Communications,MU_Micron Technology,ENB.TO_Enbridge Inc
2009-01-02,22.045,33.27,14.33,15.2,1.053009,0.584662,32.150002,1577.030029,27.375,40.779999,37.450001,2.84,20.24
2009-01-05,22.665001,33.040001000000004,13.98,15.38,1.043165,0.593881,32.529999,1632.209961,27.424999,39.0,37.189999,3.32,20.1
2009-01-06,23.280001000000002,33.630001,14.28,15.15,1.078422,0.6168520000000001,34.66,1628.030029,27.195,38.599998,35.0,3.47,19.905001000000002
2009-01-07,22.780001000000002,33.650002,13.71,15.09,1.103773,0.625108,33.91,1652.380005,26.434998999999998,37.689999,33.970001,3.28,19.66
2009-01-08,23.174999,33.630001,13.54,15.1,1.107861,0.6141949999999999,33.889998999999996,1599.060059,27.434998999999998,39.400002,33.400002,3.41,20.025
2009-01-09,23.0,33.0,12.99,15.48,1.111537,0.617999,33.59,1617.01001,28.125,37.700001,32.5,3.29,19.84
2009-01-12,22.434998999999998,31.27,11.43,15.79,1.128142,0.623768,32.810001,1571.589966,27.530001000000002,36.139998999999996,32.200001,3.16,19.605
2009-01-13,22.745001000000002,31.74,10.65,16.219998999999998,1.109201,0.615492,33.450001,1538.790039,26.43,36.68,32.200001,3.15,19.975
2009-01-14,22.0,30.65,10.2,16.18,1.099601,0.6192949999999999,32.740002000000004,1546.459961,25.16,35.439999,31.73,2.93,19.93
2009-01-15,22.025,31.360001,8.32,16.370001000000002,1.106221,0.607467,32.599998,1489.640015,26.1,37.490002000000004,33.290001000000004,2.99,20.02
2009-01-16,21.85,30.450001,7.18,16.84,1.1150579999999999,0.607215,32.299999,1511.839966,26.254998999999998,37.220001,33.549999,3.4,20.195
2009-01-19,21.219998999999998,29.9,5.1,17.16,1.108487,0.605985,31.65,1529.329956,25.59,37.209998999999996,33.990002000000004,3.08,20.495001000000002
2009-01-20,19.709999,28.58,6.68,16.969998999999998,1.101685,0.609359,30.35,1440.859985,25.68,36.279999,32.57,3.44,20.049999
2009-01-21,20.639999,29.700001,5.71,16.959999,1.077034,0.613275,31.469998999999998,1507.069946,25.309998999999998,36.419998,33.939999,3.25,20.059998999999998
2009-01-22,19.834999,28.08,6.24,16.84,1.066965,0.610262,30.120001000000002,1465.48999,25.475,35.200001,33.700001,3.56,19.77
2009-01-23,19.5,28.0,6.0,16.690001000000002,1.067167,0.613885,30.469998999999998,1477.290039,25.91,34.970001,33.669998,3.4,19.66
2009-01-26,19.695,27.99,6.5,16.93,1.063099,0.6274890000000001,30.85,1489.459961,26.635,34.939999,33.82,3.49,19.895
2009-01-27,19.865,29.6,7.39,16.799999,1.0590549999999999,0.619871,32.689999,1504.900024,27.049999,36.27,33.810001,3.76,20.025
2009-01-28,21.190001000000002,31.17,6.78,16.84,1.0734290000000002,0.617631,33.700001,1558.339966,26.785,37.080002,34.790001000000004,3.57,20.23
